question,expected,retrieved,hit,reciprocal_rank
A science fiction movie about space exploration,"Interstellar, The Martian","Interstellar: Nolan's Odyssey, The Midnight Sky, Passengers, Ad Astra, Orbiter 9",0,0.0
A mind-bending science fiction movie,"Inception, Tenet","Bliss, Transcendence, Metropia, Coherence, Advantageous",0,0.0
A movie about time travel,"Back to the Future, Looper","Frequently Asked Questions About Time Travel, See You Yesterday, About Time, Happy Accidents, Synchronicity",0,0.0
A superhero movie with Marvel characters,"Avengers: Endgame, Iron Man","Marvel Studios: Assembling a Universe, Marvel One-Shot: Item 47, Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer, Superhero Movie, The Avengers",0,0.0
A superhero movie from DC,"The Dark Knight, Man of Steel","Lego Batman: The Movie - DC Super Heroes Unite, DC Showcase: Death, Justice League: War, Zack Snyder's Justice League, Superhero Movie",0,0.0
A fantasy movie with magic,"Harry Potter and the Sorcerer's Stone, Fantastic Beasts and Where to Find Them","Onward, Wizards of Waverly Place: The Movie, Upside-Down Magic, Wish Upon, Practical Magic",0,0.0
A movie about dinosaurs,"Jurassic Park, Jurassic World","Walking with Dinosaurs, The Dinosaur Project, The Good Dinosaur, Jurassic Hunt, The Land Before Time XIV: Journey of the Brave",0,0.0
A movie about robots and artificial intelligence,"Ex Machina, I, Robot","I, Robot, A.I. Artificial Intelligence, Bigbug, Morgan, The Creator",1,1.0
A movie about survival in space,"Gravity, The Martian","High Life, Passengers, Lost in Space, Prospect, Alone",0,0.0
A movie about dreams,Inception,"In My Dreams, In Dreams, A House of Your Dreams, Muse, The Science of Sleep",0,0.0
A romantic comedy,"Crazy Rich Asians, Notting Hill","Happiness for Beginners, Playing It Cool, Catch and Release, About Last Night, Someone Marry Barry",0,0.0
A movie about friendship,"Toy Story, Stand by Me","Looking: The Movie, The Art of Getting By, Close, Among Friends, Mickey's Twice Upon a Christmas",0,0.0
A movie based on a true story,"The Pursuit of Happyness, Ford v Ferrari","Utøya: July 22, Dreamer: Inspired By a True Story, The Railway Man, Breathe, Down by Love",0,0.0
A psychological thriller,"Shutter Island, Gone Girl","The Last Client, The Experiment, Clinical, Spiderhead, A Tale of Two Sisters",0,0.0
A mystery movie with plot twists,"The Prestige, Knives Out","Get a Clue, Under Suspicion, A Wolf at the Door, Red Eye, Exam",0,0.0
A crime drama,"The Godfather, Goodfellas","A Hard Day, Bent, 11:14, Bomb City, The Crime Is Mine",0,0.0
A movie directed by Christopher Nolan,"Interstellar, Inception, The Prestige, The Dark Knight","Interstellar: Nolan's Odyssey, Following, Inception, Tenet, The Prestige",1,0.3333333333333333
A movie directed by Quentin Tarantino,"Pulp Fiction, Django Unchained","QT8: The First Eight, Grindhouse, Django Unchained, Reality, True Crime",1,0.3333333333333333
A movie starring Leonardo DiCaprio,"Inception, The Revenant, Titanic","The Audition, Se son rose..., Finalmente la felicità, The Way He Looks, Spielberg",0,0.0
A movie starring Tom Hanks,"Forrest Gump, Cast Away","Greyhound, Larry Crowne, The Post, A Man Called Otto, Cast Away",1,0.2
A movie starring Morgan Freeman,"The Shawshank Redemption, Se7en","The Contract, 10 Items or Less, The Lego Movie, The Magic of Belle Isle, Under Suspicion",0,0.0
A movie about World War II,"Saving Private Ryan, Dunkirk","Blood & Gold, Little Boy, Their Finest, U-571, The Painted Bird",0,0.0
A movie about revenge,"John Wick, Kill Bill: Vol. 1","The Dirties, Dead Man's Shoes, Violation, Xtreme, Bent",0,0.0
A movie about prison escape,"The Shawshank Redemption, Escape Plan","Escape Plan, The Escapist, Get the Gringo, Prison Break: The Final Break, Escape Plan: The Extractors",1,1.0
A movie about detectives solving crimes,"Se7en, Zodiac","Blind Detective, Evidence, Felony, Counter Investigation, Scooby-Doo! and the Curse of the 13th Ghost",0,0.0
A movie about aliens,"Arrival, Alien","Aliens in the Attic, AVP: Alien vs. Predator, Meet Dave, Alien Abduction: Incident in Lake County, Almost Home",0,0.0
A movie about virtual reality,"The Matrix, Ready Player One","eXistenZ, Sleep Dealer, S1m0ne, World of Tomorrow, Ready Player One",1,0.2
A movie with space battles,"Star Wars, Guardians of the Galaxy","Armageddon, Soldier, Iron Sky, Battlestar Galactica: Blood & Chrome, Space Sweepers",0,0.0
A movie with dragons,"How to Train Your Dragon, The Hobbit: The Desolation of Smaug","Dragons: Dawn of the Dragon Racers, Book of Dragons, Dragon Rider, Dragons: Gift of the Night Fury, How to Train Your Dragon: Homecoming",0,0.0
A highly rated animated movie,"Spirited Away, Toy Story","Life, Animated, Turtles Forever, Next Gen, Hotel Gagarin, Raining Cats and Frogs",0,0.0
