question,expected,vector_retrieved,vector_hit,vector_rr,hybrid_retrieved,hybrid_hit,hybrid_rr
A science fiction movie about space exploration,"Interstellar, The Martian","Red Planet, 3022, Prometheus, Sphere, Life",0,0.0,"Interstellar: Nolan's Odyssey, The Midnight Sky, Passengers, Ad Astra, Orbiter 9",0,0.0
A mind-bending science fiction movie,"Inception, Tenet","Transcendence, Bliss, More, Multiverse, Parallel",0,0.0,"Bliss, Transcendence, Metropia, Coherence, Advantageous",0,0.0
A movie about time travel,"Back to the Future, Looper","Time Lapse, Timecrimes, Frequently Asked Questions About Time Travel, About Time, Synchronicity",0,0.0,"Frequently Asked Questions About Time Travel, See You Yesterday, About Time, Happy Accidents, Synchronicity",0,0.0
A superhero movie with Marvel characters,"Avengers: Endgame, Iron Man","Marvel Studios: Assembling a Universe, Guardians, The Little Guy, Magnum Opus, Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer",0,0.0,"Marvel Studios: Assembling a Universe, Marvel One-Shot: Item 47, Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer, Superhero Movie, The Avengers",0,0.0
A superhero movie from DC,"The Dark Knight, Man of Steel","DC Showcase: Death, Justice League: Gods and Monsters, Justice League: War, Superhero Movie, Lego Batman: The Movie - DC Super Heroes Unite",0,0.0,"Lego Batman: The Movie - DC Super Heroes Unite, DC Showcase: Death, Justice League: War, Zack Snyder's Justice League, Superhero Movie",0,0.0
A fantasy movie with magic,"Harry Potter and the Sorcerer's Stone, Fantastic Beasts and Where to Find Them","Magic Magic, Strange Magic, Bright, Magic in the Moonlight, The Secret of the Magic Gourd",0,0.0,"Onward, Wizards of Waverly Place: The Movie, Upside-Down Magic, Wish Upon, Practical Magic",0,0.0
A movie about dinosaurs,"Jurassic Park, Jurassic World","Dinosaur, The Good Dinosaur, The Dinosaur Project, Return to Jurassic Park, Walking with Dinosaurs",0,0.0,"Walking with Dinosaurs, The Dinosaur Project, The Good Dinosaur, Jurassic Hunt, The Land Before Time XIV: Journey of the Brave",0,0.0
A movie about robots and artificial intelligence,"Ex Machina, I, Robot","Automata, I, Robot, A.I. Artificial Intelligence, The Machine, Morgan",1,0.5,"I, Robot, A.I. Artificial Intelligence, Bigbug, Morgan, The Creator",1,1.0
A movie about survival in space,"Gravity, The Martian","3022, Life, Lost in Space, Attraction, Love",0,0.0,"High Life, Passengers, Lost in Space, Prospect, Alone",0,0.0
A movie about dreams,Inception,"The Science of Sleep, The Dreamers, On Body and Soul, In Dreams, The Butterfly's Dream",0,0.0,"In My Dreams, In Dreams, A House of Your Dreams, Muse, The Science of Sleep",0,0.0
A romantic comedy,"Crazy Rich Asians, Notting Hill","Someone Marry Barry, 6 Years, Something New, Playing It Cool, Another Year",0,0.0,"Happiness for Beginners, Playing It Cool, Catch and Release, About Last Night, Someone Marry Barry",0,0.0
A movie about friendship,"Toy Story, Stand by Me","Close, Among Friends, Emergency, (Girl)Friend, Friendship!",0,0.0,"Looking: The Movie, The Art of Getting By, Close, Among Friends, Mickey's Twice Upon a Christmas",0,0.0
A movie based on a true story,"The Pursuit of Happyness, Ford v Ferrari","True Story, Argentina, 1985, Dreamer: Inspired By a True Story, The Straight Story, The 33",0,0.0,"Utøya: July 22, Dreamer: Inspired By a True Story, The Railway Man, Breathe, Down by Love",0,0.0
A psychological thriller,"Shutter Island, Gone Girl","Clinical, The Last Client, The Diabolical, A Second Chance, The Cell",0,0.0,"The Last Client, The Experiment, Clinical, Spiderhead, A Tale of Two Sisters",0,0.0
A mystery movie with plot twists,"The Prestige, Knives Out","Under Suspicion, Get a Clue, Exam, Counter Investigation, 11:14",0,0.0,"Get a Clue, Under Suspicion, A Wolf at the Door, Red Eye, Exam",0,0.0
A crime drama,"The Godfather, Goodfellas","11:14, The Crime Is Mine, Ordinary Decent Criminal, A Second Chance, Under Suspicion",0,0.0,"A Hard Day, Bent, 11:14, Bomb City, The Crime Is Mine",0,0.0
A movie directed by Christopher Nolan,"Interstellar, Inception, The Prestige, The Dark Knight","Interstellar: Nolan's Odyssey, Following, Dunkirk, The Zero Theorem, Interstellar",1,0.2,"Interstellar: Nolan's Odyssey, Following, Inception, Tenet, The Prestige",1,0.3333333333333333
A movie directed by Quentin Tarantino,"Pulp Fiction, Django Unchained","QT8: The First Eight, Grindhouse, Reality, Spiderhead, Django Unchained",1,0.2,"QT8: The First Eight, Grindhouse, Django Unchained, Reality, True Crime",1,0.3333333333333333
A movie starring Leonardo DiCaprio,"Inception, The Revenant, Titanic","The Audition, Se son rose..., Youth, The Way He Looks, For Your Consideration",0,0.0,"The Audition, Se son rose..., Finalmente la felicità, The Way He Looks, Spielberg",0,0.0
A movie starring Tom Hanks,"Forrest Gump, Cast Away","I Saw the Light, Swiss Army Man, Greyhound, Larry Crowne, Looking for Teddy",0,0.0,"Greyhound, Larry Crowne, The Post, A Man Called Otto, Cast Away",1,0.2
A movie starring Morgan Freeman,"The Shawshank Redemption, Se7en","Morgan, Yes Man, The Contract, God's Pocket, About a Boy",0,0.0,"The Contract, 10 Items or Less, The Lego Movie, The Magic of Belle Isle, Under Suspicion",0,0.0
A movie about World War II,"Saving Private Ryan, Dunkirk","Little Boy, Allied, Darkest Hour, U-571, Cold War",0,0.0,"Blood & Gold, Little Boy, Their Finest, U-571, The Painted Bird",0,0.0
A movie about revenge,"John Wick, Kill Bill: Vol. 1","Bent, Your Son, Vengeance, Do Revenge, Badlapur",0,0.0,"The Dirties, Dead Man's Shoes, Violation, Xtreme, Bent",0,0.0
A movie about prison escape,"The Shawshank Redemption, Escape Plan","Escape Plan, The Escapist, The Inner Cage, Caged, 7 Prisoners",1,1.0,"Escape Plan, The Escapist, Get the Gringo, Prison Break: The Final Break, Escape Plan: The Extractors",1,1.0
A movie about detectives solving crimes,"Se7en, Zodiac","Counter Investigation, Under Suspicion, Keep an Eye Out, 11:14, Surveillance",0,0.0,"Blind Detective, Evidence, Felony, Counter Investigation, Scooby-Doo! and the Curse of the 13th Ghost",0,0.0
A movie about aliens,"Arrival, Alien","Encounter, Extinction, Alien Hunter, Lifted, Arrival",1,0.2,"Aliens in the Attic, AVP: Alien vs. Predator, Meet Dave, Alien Abduction: Incident in Lake County, Almost Home",0,0.0
A movie about virtual reality,"The Matrix, Ready Player One","The Zero Theorem, Sleep Dealer, eXistenZ, S1m0ne, The Call Up",0,0.0,"eXistenZ, Sleep Dealer, S1m0ne, World of Tomorrow, Ready Player One",1,0.2
A movie with space battles,"Star Wars, Guardians of the Galaxy","Soldier, Battle for Terra, 3022, Lost in Space, Armageddon",0,0.0,"Armageddon, Soldier, Iron Sky, Battlestar Galactica: Blood & Chrome, Space Sweepers",0,0.0
A movie with dragons,"How to Train Your Dragon, The Hobbit: The Desolation of Smaug","Sintel, Dragon, Dragons: Dawn of the Dragon Racers, Dragons: Gift of the Night Fury, Dragonheart: Vengeance",0,0.0,"Dragons: Dawn of the Dragon Racers, Book of Dragons, Dragon Rider, Dragons: Gift of the Night Fury, How to Train Your Dragon: Homecoming",0,0.0
A highly rated animated movie,"Spirited Away, Toy Story","Life, Animated, Next Gen, Raining Cats and Frogs, Pinocchio, Sing",0,0.0,"Life, Animated, Turtles Forever, Next Gen, Hotel Gagarin, Raining Cats and Frogs",0,0.0
