question,expected,answer,relevance,correctness,completeness,overall
A science fiction movie about space exploration,"['Interstellar', 'The Martian']","### Best match: **Prometheus (2012)**
- **Genre:** Science Fiction, Adventure, Mystery  
- **Director:** Ridley Scott  
- **Rating:** 6.535  
- **Short explanation:** A team of explorers investigates clues about humanity’s origins and ventures into the unknown—making it a strong fit for **space exploration** with a sci-fi mystery tone.

### Also strong matches:
#### **Life (2017)**
- **Genre:** Horror, Science Fiction, Mystery, Thriller  
- **Director:** Daniel Espinosa  
- **Rating:** 6.423  
- **Short explanation:** Set on the **International Space Station**, the crew studies a **Mars sample** that may prove extraterrestrial life—directly matching **space exploration** themes.

#### **3022 (2019)**
- **Genre:** Science Fiction  
- **Director:** John Suits  
- **Rating:** 5.402  
- **Short explanation:** Focuses on astronauts living in deep space after an extinction-level event, aligning well with **space travel and exploration**.

#### **Red Planet (2000)**
- **Genre:** Thriller, Action, Science Fiction  
- **Director:** Antony Hoffman  
- **Rating:** 5.691  
- **Short explanation:** Astronauts search for solutions to save Earth by exploring **Mars**, though the mission goes badly—fits **space exploration** with high-stakes sci-fi action.",5,3,4,4.0
A mind-bending science fiction movie,"['Inception', 'Tenet']","### Best match: **Multiverse (2021)**
- **Genre:** Science Fiction, Thriller, Drama  
- **Director:** Gaurav Seth  
- **Rating:** 6.673  
- **Why it matches:** It’s explicitly mind-bending—four students’ **quantum physics experiment** creates an **entangled parallel existence**, forcing them to question **who they are and what’s real**.

### Also great if you want a similar “reality-bending” vibe: **Bliss (2021)**
- **Genre:** Science Fiction, Romance, Drama  
- **Director:** Mike Cahill  
- **Rating:** 5.497  
- **Why it matches:** A **mysterious woman** believes the world is a **computer simulation**, and the story becomes increasingly mind-bending as the protagonist starts to doubt his reality.",2,1,2,1.6666666666666667
A movie about time travel,"['Back to the Future', 'Looper']","### Best matches (time travel)

**1) About Time (2013)**
- **Genre:** Drama, Romance, Fantasy  
- **Director:** Richard Curtis  
- **Rating:** 7.905  
- **Short explanation:** A man learns his family can travel through time (specifically to change what happens in his own life), and the story focuses on how that ability affects relationships and personal choices.

**2) Timecrimes (2007)**
- **Genre:** Science Fiction, Thriller  
- **Director:** Nacho Vigalondo  
- **Rating:** 7.016  
- **Short explanation:** A man accidentally ends up in a time machine and travels back in time, triggering a chain of escalating, unpredictable consequences.

**3) Time Lapse (2014)**
- **Genre:** Thriller, Science Fiction, Mystery, Horror  
- **Director:** Bradley King  
- **Rating:** 6.514  
- **Short explanation:** Three friends discover a mysterious machine that shows pictures 24 hours into the future, and using it leads to increasingly disturbing and dangerous outcomes.

**4) Frequently Asked Questions About Time Travel (2009)**
- **Genre:** Comedy, Drama, Romance, Science Fiction  
- **Director:** Gareth Carrivick  
- **Rating:** 6.882  
- **Short explanation:** Three social outcasts try to navigate a time-travel conundrum, mixing romance and comedy with the mechanics of time travel.

**5) Synchronicity (2015)**
- **Genre:** Thriller, Mystery, Science Fiction  
- **Director:** Jacob Gentry  
- **Rating:** 5.661  
- **Short explanation:** A physicist travels into the past using a machine, uncovering surprising truths about the situation and his own reality.

If you tell me whether you want **serious sci-fi**, **thriller/horror**, or **more comedic/romantic**, I can narrow it to the top 1–2.",5,4,4,4.333333333333333
A superhero movie with Marvel characters,"['Avengers: Endgame', 'Iron Man']","### Best match: **Marvel Studios: Assembling a Universe (2014)**
- **Genre:** Documentary, TV Movie  
- **Director:** Unknown  
- **Rating:** **6.9**  
- **Why it matches:** It’s Marvel-focused and features **Marvel Cinematic Universe** content with **interviews and behind-the-scenes footage from Marvel films**, including major Marvel characters (e.g., Robert Downey Jr., Scarlett Johansson, Samuel L. Jackson, Chris Hemsworth, Chris Evans).

---

### Also fits (Marvel-adjacent superhero content): **Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer (2011)**
- **Genre:** Science Fiction, Fantasy  
- **Director:** Leythum  
- **Rating:** **6.817**  
- **Why it matches:** This is a **Marvel One-Shot** featuring **Agent Coulson** (a Marvel character) in a short superhero/Marvel story connected to the Thor universe.

---

If you want a **full-length superhero action/adventure** specifically (rather than documentary/one-shot), the retrieved list doesn’t include one with Marvel characters besides the above.",3,2,2,2.3333333333333335
A superhero movie from DC,"['The Dark Knight', 'Man of Steel']","### Best match (DC superhero)

**Justice League: War** (2014)  
- **Genre:** Animation, Action  
- **Director:** Jay Oliva  
- **Rating:** 7.449  
- **Short explanation:** A classic DC superhero team-up where major heroes (Superman, Batman, Wonder Woman, The Flash, Green Lantern, Cyborg, and Shazam) must unite to defend Earth from an alien threat led by **Darkseid**—a strong match for “a superhero movie from DC.”

### Also fits (DC superhero / DC universe)

**Justice League: Gods and Monsters** (2015)  
- **Genre:** Action, Animation, Fantasy  
- **Director:** Sam Liu  
- **Rating:** 7.118  
- **Short explanation:** Features alternate-universe versions of DC’s Trinity (Superman/Batman/Wonder Woman) in a superhero conflict involving government framing and a major Justice League-style battle—fits the DC superhero request, with a fantasy/action tone.

### Not a superhero team movie, but still DC-related

**DC Showcase: Death** (2019)  
- **Genre:** Fantasy, Animation, Drama  
- **Director:** Sam Liu  
- **Rating:** 8.436  
- **Short explanation:** A DC animated story focused on a character’s inner demons and “eventual death,” which is DC-related but not a typical superhero/action team plot.",5,4,4,4.333333333333333
A fantasy movie with magic,"[""Harry Potter and the Sorcerer's Stone"", 'Fantastic Beasts and Where to Find Them']","Here are the best matches from the retrieved movies for a **fantasy movie with magic**:

### 1) **The Secret of the Magic Gourd** (2007)
- **Genre:** Drama, Family, Fantasy  
- **Director:** John Chu, Frankie Chung  
- **Rating:** 7.401  
- **Short explanation:** A schoolboy finds a **magical gourd** that grants wishes, turning his life into a fantasy adventure where the “magic” becomes both a blessing and a burden.

### 2) **Magic in the Moonlight** (2014)
- **Genre:** Comedy, Drama, Romance  
- **Director:** Woody Allen  
- **Rating:** 6.494  
- **Short explanation:** Set on the 1920s French Riviera, it follows a **master magician** hired to expose a **psychic**—a story centered on magic, illusion, and deception.

### 3) **Bright** (2017)
- **Genre:** Fantasy, Action, Thriller  
- **Director:** David Ayer  
- **Rating:** 6.156  
- **Short explanation:** In a world where **magical creatures** exist among humans, two cops get pulled into a conflict tied to prophecy—strong “magic in the real world” fantasy vibes.

If you want, tell me whether you prefer **family-friendly magic** or **darker/thriller magic**, and I’ll narrow it further using only these titles.",2,1,2,1.6666666666666667
A movie about dinosaurs,"['Jurassic Park', 'Jurassic World']","### Best match: **The Good Dinosaur (2015)**
- **Genre:** Adventure, Animation, Family  
- **Director:** Peter Sohn  
- **Rating:** 6.745  
- **Why it matches:** It’s a dinosaur-focused, family-friendly adventure centered on an Apatosaurus named Arlo and his journey, making it a strong fit for “a movie about dinosaurs.”

---

### Also great: **Walking with Dinosaurs (2013)**
- **Genre:** Animation, Family, Adventure  
- **Director:** Barry Cook, Neil Nightingale  
- **Rating:** 6.09  
- **Why it matches:** It features life-like dinosaur characters and takes viewers into the prehistoric world, aligning closely with a dinosaur-themed movie request.

---

### If you want something more “family story”: **Dinosaur (2000)**
- **Genre:** Family, Animation  
- **Director:** Eric Leighton, Ralph Zondag  
- **Rating:** 6.52  
- **Why it matches:** It follows a dinosaur character raised by lemurs and his trek after a meteorite destroys his home—another direct dinosaur story with a family tone.

---

### If you want a darker/realistic dinosaur angle: **The Dinosaur Project (2012)**
- **Genre:** Adventure, Action, Horror  
- **Director:** Sid Bennett  
- **Rating:** 5.496  
- **Why it matches:** It’s about an expedition that discovers a colony of dinosaurs (found footage style), which fits if you want dinosaurs with more action/horror elements.",5,4,4,4.333333333333333
A movie about robots and artificial intelligence,"['Ex Machina', 'I, Robot']","### Best matches (robots / artificial intelligence)

1) **I, Robot (2004)**  
- **Genre:** Action, Science Fiction  
- **Director:** Alex Proyas  
- **Rating:** 6.939  
- **Why it matches:** Set in 2035 with robots governed by the “three laws,” it follows an investigation into a possible robot-caused death—directly centered on robot behavior and AI risk to humanity.

2) **A.I. Artificial Intelligence (2001)**  
- **Genre:** Drama, Science Fiction, Adventure  
- **Director:** Steven Spielberg  
- **Rating:** 7.041  
- **Why it matches:** Focuses on a highly advanced robotic boy designed to love, exploring what happens when an AI-like being is treated as a child and faces life-changing circumstances.

3) **Automata (2014)**  
- **Genre:** Thriller, Science Fiction  
- **Director:** Gabe Ibáñez  
- **Rating:** 5.831  
- **Why it matches:** Centers on a robotics corporation and an investigation into manipulation of a robot, with consequences for humanity—strong AI/robot thriller themes.

4) **The Machine (2013)**  
- **Genre:** Science Fiction, Thriller  
- **Director:** Caradog W. James  
- **Rating:** 5.9  
- **Why it matches:** Involves a game-changing human cyborg/weapon prototype and a programming bug that leads to violent outcomes—AI/robotic creation and malfunction driving the plot.

5) **Morgan (2016)**  
- **Genre:** Horror, Science Fiction, Thriller  
- **Director:** Luke Scott  
- **Rating:** 5.774  
- **Why it matches:** A corporate consultant must decide whether to terminate an artificial being created in a lab—an AI ethics and control dilemma with a robot-like entity at the center.",5,4,3,4.0
A movie about survival in space,"['Gravity', 'The Martian']","## Best match: **Love (2011)**
- **Genre:** Drama, Science Fiction  
- **Director:** William Eubank  
- **Rating:** 5.4  
- **Why it matches (survival in space):** The story centers on an **astronaut stranded alone in orbit** after losing contact with Earth, struggling as **life support systems dwindle**—a direct survival-in-space scenario.

## Also fits: **3022 (2019)**
- **Genre:** Science Fiction  
- **Director:** John Suits  
- **Rating:** 5.402  
- **Why it matches:** A group of astronauts in **deep space** must cope after an **extinction-level event on Earth**, emphasizing survival and psychological struggle in space.

## If you want survival + mystery: **Life (2017)**
- **Genre:** Horror, Science Fiction, Mystery, Thriller  
- **Director:** Daniel Espinosa  
- **Rating:** 6.423  
- **Why it matches:** Set on the **International Space Station**, where a crew studies a Mars sample that becomes **more intelligent than expected**, driving tense survival stakes in space.",2,1,2,1.6666666666666667
A movie about dreams,['Inception'],"### Best matches (movies about dreams)

**1) On Body and Soul (2017)**  
- **Genre:** Drama, Romance, Fantasy  
- **Director:** Ildikó Enyedi  
- **Rating:** 7.222  
- **Why it matches:** Two introverted people discover they share the **same dream every night**, and then try to recreate what happens in their dreams in real life—making it directly centered on dream experiences.

**2) The Science of Sleep (2006)**  
- **Genre:** Comedy, Drama, Fantasy  
- **Director:** Michel Gondry  
- **Rating:** 7.036  
- **Why it matches:** The story follows a man **entranced by his dreams and imagination**, using them as a lens for love and his inner world—so dreams are a core driver of the plot.

**3) In Dreams (1999)**  
- **Genre:** Mystery, Thriller, Horror  
- **Director:** Neil Jordan  
- **Rating:** 5.415  
- **Why it matches:** A woman learns she has **psychic connections through her dreams**, which let her predict a serial killer’s motives—dreams are central, but in a darker thriller/horror direction.

If you want, tell me whether you prefer **romantic/fantastical dreams** or **thriller/horror dreams**, and I’ll narrow it to the best single pick from the list.",5,4,4,4.333333333333333
